Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-569.4843	-599.8014	30.31711	0.441329	0.0485823	0.215614	0.0638103	0.185016	0.0693271	0.264855	0.106809	0.127007	0.113534	0.107814	0.0310027	0.0197127	0.0588588	0.091191	0.00225706	0.111991	0.0482284	0.191436	0.0888715	0.0132171	0.184294	0.0564964	0.0182839	0.0257344	0.011025	0.322955	0.010991	0.0403731	0.270609	0.528631	0.81965	1.22003	1.89168	3.69536	0.9451078	0.143726	0.0158217	0.0702186	0.0207809	0.0602537	0.0225776	0.0862547	0.0347843	0.041362	0.0369744	0.0351114	0.0100966	0.00641977	0.0191684	0.0296979	0.000735049	0.0364717	0.0157064	0.0623445	0.0289426	0.00430437	0.0600185	0.018399	0.00595448	0.00838084	0.00359049	0.105176	0.00357943	0.0131482	0.685659	0.314341	0.6856589	3.070618
36	-571.2482	-597.5506	26.30239	1.07625	0.0123029	0.102709	0.137804	0.250737	0.180113	0.496071	0.399118	0.349747	0.111562	0.177539	0.0259482	0.0565989	0.110082	0.0380481	0.0115551	0.0695858	0.0235388	0.357033	0.259112	0.220715	0.124781	0.024336	0.564787	0.0119723	0.00400366	0.118866	0.0906523	0.0248362	0.326026	0.578911	0.843217	1.18593	1.72738	3.06724	0.8103993	0.198189	0.00226556	0.0189137	0.0253764	0.0461729	0.0331675	0.0913506	0.0734969	0.0644054	0.0205439	0.0326935	0.00477831	0.0104226	0.0202715	0.0070065	0.00212785	0.0128141	0.00433464	0.065747	0.0477151	0.0406443	0.0229783	0.00448143	0.104005	0.00220469	0.000737268	0.021889	0.0166935	0.00457355	0.669381	0.330619	0.6693808	5.4304
72	-574.6137	-601.5813	26.96767	0.945763	0.123663	0.145181	0.0117716	0.106448	0.147509	0.299189	0.0782777	0.268389	0.31707	0.0638818	0.0413272	0.00857808	0.0245607	0.0396034	0.00185709	0.0891014	0.100214	0.290239	0.141999	0.0569193	0.0753082	0.011414	0.0100933	0.00238198	0.28581	0.4919	0.572444	0.138162	0.21165	0.468924	0.789569	1.26651	2.13254	4.72479	1.122797	0.193445	0.0252938	0.0296952	0.00240775	0.0217728	0.0301712	0.0611957	0.0160108	0.0548958	0.064853	0.0130663	0.00845301	0.00175455	0.00502361	0.00810042	0.000379847	0.0182247	0.0204976	0.0593651	0.0290443	0.0116422	0.0154034	0.0023346	0.00206446	0.000487206	0.0584591	0.100612	0.117087	0.0282595	0.768428	0.231572	0.7684278	4.889056
108	-567.9328	-599.8608	31.928	0.400862	0.0519544	0.0296122	0.0291968	0.034954	0.0332452	0.0595283	0.0872422	0.0844318	0.0466984	0.0360867	0.0128943	0.00835598	0.0119812	0.0170389	0.0281099	0.0085423	0.0428391	0.000134548	0.0341354	0.0839585	0.041152	0.00760911	0.282668	0.024468	0.111991	0.0905311	0.0896467	0.00495349	0.154829	0.402614	0.752892	1.32821	2.48377	6.45873	1.348836	0.223344	0.0289468	0.0164987	0.0162672	0.0194749	0.0185228	0.0331667	0.0486077	0.0470419	0.0260184	0.020106	0.00718417	0.00465561	0.00667542	0.00949337	0.0156617	0.00475941	0.0238681	7.49643e-05	0.0190188	0.0467782	0.0229282	0.00423948	0.157491	0.0136326	0.0623965	0.0504402	0.0499474	0.00275988	0.648866	0.351134	0.6488655	1.794821
144	-577.6924	-607.4015	29.70915	0.597608	0.0814312	0.0384376	0.0547034	0.0171277	0.09929	0.0950276	0.164448	0.339849	0.110017	0.109987	0.0281383	0.0417268	0.061412	0.0294956	0.0493401	0.0372754	0.00799585	0.1154	0.0301208	0.144541	0.0379221	0.0623664	0.677413	0.00250696	0.119843	0.139273	0.100313	0.0337299	0.268576	0.52669	0.81871	1.22143	1.89865	3.72334	0.9505609	0.174396	0.0237635	0.011217	0.0159637	0.00499824	0.0289751	0.0277312	0.0479897	0.0991756	0.0321054	0.0320967	0.00821139	0.0121768	0.0179214	0.00860749	0.0143985	0.0108778	0.00233337	0.0336764	0.00878993	0.0421802	0.0110665	0.0181999	0.197684	0.000731588	0.0349728	0.0406429	0.0292736	0.00984314	0.589138	0.410862	0.5891378	3.426739
180	-576.4528	-607.4888	31.03595	0.207486	0.0507187	0.121956	0.0456655	0.180574	0.0125354	0.0978108	0.250119	0.156728	0.182164	0.0577654	0.057269	0.0411776	0.0414395	0.0411074	0.0651363	0.122372	0.0379667	0.156517	0.093627	0.0189086	0.0940111	0.0178711	0.00186302	0.0210295	0.0760613	0.105737	0.219658	0.0103685	0.242531	0.501128	0.806101	1.24054	1.9955	4.12319	1.024319	0.0802454	0.0196155	0.0471667	0.0176612	0.0698373	0.00484807	0.0378284	0.0967337	0.0606147	0.070452	0.0223408	0.0221488	0.0159255	0.0160268	0.0158983	0.0251915	0.0473274	0.0146837	0.0605331	0.0362103	0.00731291	0.0363589	0.00691167	0.000720525	0.00813319	0.0294168	0.040894	0.0849528	0.00401002	0.501936	0.498064	0.5019356	2.585643
216	-568.5101	-599.1838	30.6737	0.149519	0.031918	0.084973	0.0476473	0.106151	0.104	0.149825	0.0809452	0.234718	0.0741709	0.149828	0.0165192	0.0207735	0.0291522	0.0474433	0.00715506	0.0362522	0.0569775	0.0191148	0.0330673	0.01576	0.173251	0.00339717	0.0145497	0.167158	0.128426	0.24063	0.462683	0.0390084	0.200945	0.457203	0.783358	1.27656	2.18721	4.97647	1.160324	0.054869	0.011713	0.0311826	0.0174852	0.0389544	0.0381649	0.0549815	0.0297045	0.0861345	0.0272185	0.0549825	0.00606206	0.00762325	0.010698	0.0174103	0.0026257	0.0133035	0.0209091	0.00701456	0.0121347	0.00578347	0.0635779	0.00124666	0.00533931	0.0613421	0.0471287	0.0883042	0.169791	0.0143149	0.718998	0.281002	0.7189977	2.725014
252	-569.2408	-599.4838	30.24302	0.274847	0.00894365	0.123065	0.0224179	0.0252813	0.119178	0.148872	0.223908	0.157978	0.165943	0.0670515	0.0265786	0.00740634	0.0228976	0.0938442	0.00911764	0.0184872	0.0846072	0.0321457	0.0721065	0.114305	0.107601	0.00389166	0.0210555	0.00039683	0.4889	0.258825	0.202865	0.00042395	0.166014	0.416546	0.760925	1.31419	2.4007	6.02358	1.298402	0.0946789	0.00308089	0.0423934	0.00772246	0.00870885	0.0410541	0.0512831	0.0771315	0.05442	0.0571638	0.0230978	0.00915575	0.00255132	0.00788773	0.0323273	0.00314083	0.00636843	0.0291453	0.0110735	0.0248391	0.0393757	0.0370661	0.00134059	0.00725315	0.000136699	0.168415	0.0891594	0.0698827	0.000146042	0.464333	0.535667	0.4643332	2.902941
288	-569.504	-601.8441	32.34018	0.192806	0.0240072	0.0267179	0.00136373	0.0011434	0.0848459	0.0963823	0.128887	0.0651212	0.0878232	0.0224368	0.00434552	0.0237329	0.00888218	0.0144078	0.0152286	0.0455114	0.010347	0.00600634	0.00950244	0.00280914	0.0648313	0.0143623	0.0144117	0.0193094	0.0555351	0.130818	0.121164	0.00202877	0.107864	0.337545	0.712604	1.4033	2.96257	9.27091	1.610189	0.148912	0.0185417	0.0206353	0.00105326	0.000883094	0.0655298	0.0744398	0.0995445	0.0502956	0.0678292	0.0173288	0.00335621	0.0183298	0.00686005	0.0111277	0.0117616	0.0351502	0.00799142	0.00463893	0.0073391	0.0021696	0.0500717	0.0110926	0.0111307	0.0149134	0.0428919	0.101036	0.0935798	0.0015669	0.676958	0.323042	0.6769577	1.294769
324	-567.0733	-597.7547	30.68136	0.361684	0.0736437	0.0956385	0.0903467	0.0687235	0.118311	0.117334	0.275675	0.214433	0.148552	0.0837947	0.0188427	0.0381955	0.064579	0.00634109	0.0105524	0.0558948	0.051741	0.0636731	0.042157	0.0316882	0.38812	0.124277	0.0293695	0.0477034	0.0121538	0.206146	0.0218651	0.028634	0.295548	0.551854	0.830719	1.20378	1.81207	3.38354	0.8813648	0.125147	0.0254816	0.0330921	0.0312611	0.0237792	0.0409372	0.0405989	0.0953869	0.0741965	0.0514007	0.028994	0.00651981	0.0132161	0.0223451	0.0021941	0.00365125	0.0193403	0.017903	0.0220317	0.0145869	0.0109645	0.134294	0.0430012	0.0101622	0.016506	0.00420538	0.0713292	0.0075656	0.00990773	0.672735	0.327265	0.6727351	2.890068
