Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-565.498	-596.307	30.809	0.640005	0.0590499	0.0206222	0.0464562	0.00349524	0.113021	0.0699121	0.23001	0.226101	0.0317236	0.10618	0.0400437	0.0236667	0.0138557	0.0657851	0.0149172	0.0132466	0.024542	0.00047409	0.172074	0.149917	0.0406532	0.0149362	0.0418172	0.0844395	0.163962	0.109212	0.137788	0.0331204	0.224416	0.482511	0.796636	1.25528	2.07249	4.45601	1.080449	0.237829	0.0219432	0.00766334	0.0172634	0.00129885	0.0419992	0.0259797	0.0854731	0.0840203	0.0117887	0.0394569	0.0148804	0.00879468	0.00514887	0.0244461	0.00554332	0.00492249	0.00911994	0.000176174	0.0639435	0.0557099	0.015107	0.00555039	0.0155395	0.0313782	0.0609293	0.0405839	0.0512029	0.0123077	0.409568	0.590432	0.4095681	2.691027
36	-567.8916	-599.3212	31.4296	0.301141	0.043801	0.114226	0.0209896	0.0752607	0.074567	0.162416	0.103196	0.0805136	0.0810304	0.0715467	0.0363271	0.00720076	0.0515602	0.0790306	0.0018182	0.00938849	0.045094	0.00180404	0.13113	0.0822411	0.0180657	0.0329226	0.00751837	0.0666572	0.39717	0.0588904	0.156391	0.0469392	0.253452	0.51201	0.811522	1.23225	1.95309	3.94552	0.9924706	0.127665	0.0185689	0.0484248	0.00889829	0.0319058	0.0316118	0.0688541	0.0437486	0.0341328	0.0343518	0.0303314	0.0154004	0.00305267	0.0218583	0.0335041	0.000770802	0.00398013	0.019117	0.000764799	0.0555909	0.0348651	0.00765872	0.0139571	0.00318732	0.0282585	0.168375	0.0249658	0.0663002	0.0198993	0.578224	0.421776	0.5782242	2.358837
72	-568.5531	-598.4277	29.87457	0.305413	0.0405525	0.18985	0.00963678	0.104213	0.0991826	0.0135457	0.214351	0.272088	0.0632387	0.0789526	0.00801692	0.0434568	0.0266668	0.048007	0.00902425	0.0287869	0.0952736	0.00293825	0.550007	0.208561	0.0393412	0.00127982	0.00383779	0.184378	0.261206	0.0882317	0.165127	0.133962	0.244196	0.502803	0.806941	1.23925	1.98885	4.09508	1.019372	0.0928553	0.0123293	0.0577205	0.00292989	0.0316842	0.0301547	0.00411834	0.0651697	0.0827234	0.0192266	0.0240041	0.0024374	0.0132123	0.00810755	0.0145957	0.00274366	0.00875214	0.0289662	0.000893322	0.16722	0.0634091	0.011961	0.000389107	0.00116681	0.0560569	0.0794149	0.0268253	0.0502039	0.0407287	0.665478	0.334522	0.6654784	3.289126
108	-571.1711	-603.5866	32.41544	0.244785	0.00177331	0.0419494	0.0389511	0.00721371	0.0592775	0.07047	0.0684138	0.0642808	0.0784001	0.0290141	0.00376058	0.0183105	0.0129493	0.0170555	8.6342e-05	0.0602753	0.00909802	0.00552863	0.00671446	0.0251335	0.119739	0.0392069	0.029497	0.0199511	0.0141729	0.00305865	0.0415628	0.00152378	0.091907	0.312192	0.695455	1.43791	3.20315	10.8806	1.72595	0.216212	0.00156631	0.0370528	0.0344045	0.00637167	0.0523582	0.0622442	0.060428	0.0567775	0.0692487	0.0256273	0.00332162	0.0161731	0.0114378	0.0150647	7.62636e-05	0.0532395	0.00803603	0.00488328	0.0059307	0.0221998	0.105762	0.0346304	0.0260539	0.0176223	0.0125186	0.00270162	0.0367113	0.00134591	0.621165	0.378835	0.6211648	1.132153
144	-568.6853	-600.7258	32.04049	0.296216	0.0140386	0.0723581	0.0383821	0.00665994	0.099717	0.071155	0.0553088	0.189696	0.0107523	0.0337976	0.00688393	0.011672	0.019854	0.0201417	0.0058907	0.0381093	0.00614703	0.0593602	0.018165	0.0309787	0.374461	0.0223456	0.0434678	0.0265686	0.0131507	0.010792	0.0116501	0.00315681	0.126298	0.364543	0.729917	1.37002	2.74316	7.91779	1.49611	0.183885	0.00871486	0.0449184	0.0238268	0.00413436	0.0619023	0.0441716	0.0343346	0.11776	0.00667481	0.0209809	0.00427341	0.00724577	0.0123249	0.0125036	0.00365683	0.0236575	0.00381595	0.0368496	0.0112764	0.019231	0.232458	0.0138717	0.026984	0.0164932	0.00816366	0.00669943	0.00723218	0.00195968	0.598342	0.401658	0.5983417	1.610876
180	-574.0251	-606.1404	32.1153	0.233284	0.0316718	0.0454616	0.00717423	0.0696228	0.084057	0.0875443	0.10488	0.103327	0.0857047	0.0718893	0.00361894	0.0172945	0.0111881	0.0713532	0.00238984	0.108631	0.0370217	0.00768267	0.0752932	0.00931251	0.253278	0.0220631	0.0219511	0.0301254	0.0110845	0.00999165	0.0301707	0.0157051	0.154748	0.402511	0.752832	1.32832	2.4844	6.46211	1.349215	0.140298	0.0190476	0.0273408	0.00431462	0.0418715	0.0505523	0.0526496	0.0630756	0.0621416	0.0515433	0.0432346	0.00217645	0.010401	0.00672859	0.0429122	0.00143726	0.0653312	0.022265	0.0046204	0.0452817	0.00560059	0.152323	0.0132689	0.0132015	0.0181176	0.00666626	0.00600903	0.0181448	0.00944515	0.5173	0.4827	0.5173	1.662773
216	-568.2446	-597.9523	29.70776	0.708229	0.0383959	0.199292	0.123664	0.0457544	0.0794832	0.218238	0.171355	0.166451	0.172719	0.125487	0.0323633	0.0303439	0.0212957	0.0865943	0.0195377	0.0283976	0.0360522	0.508668	0.256565	0.142431	0.0747527	0.015604	0.0818816	0.0169409	0.0287597	0.0818865	0.0158077	0.0371731	0.371241	0.616766	0.860045	1.16273	1.62136	2.69367	0.7164916	0.198711	0.0107729	0.055916	0.0346969	0.0128375	0.0223009	0.0612319	0.0480778	0.0467019	0.0484604	0.0352083	0.0090803	0.00851371	0.00597502	0.0242961	0.00548176	0.00796762	0.0101153	0.142719	0.0719854	0.0399623	0.0209737	0.00437807	0.0229738	0.00475316	0.00806923	0.0229752	0.00443524	0.0104298	0.680852	0.319148	0.6808521	3.564123
252	-565.4574	-597.8021	32.34463	0.188982	0.0135957	0.034968	0.0140559	0.0244216	0.061101	0.0406004	0.0394814	0.125731	0.0134317	0.0221993	0.00741664	0.00859559	0.0160851	0.0276479	0.00195674	0.00961566	0.0524087	0.0783588	0.0751487	0.0340601	0.109595	0.00820896	0.00881106	0.000892152	0.0472416	0.00576176	0.013876	0.0221242	0.0801096	0.291961	0.681069	1.46828	3.42512	12.4829	1.825286	0.170812	0.0122885	0.031606	0.0127045	0.0220736	0.0552265	0.0366969	0.0356855	0.113643	0.0121403	0.0200649	0.00670356	0.00776916	0.0145386	0.0249897	0.00176861	0.00869116	0.0473698	0.070825	0.0679235	0.0307854	0.0990577	0.00741971	0.00796392	0.000806376	0.0426996	0.0052078	0.0125419	0.019997	0.612634	0.387366	0.6126342	1.106372
288	-572.002	-599.8402	27.83821	0.085034	0.00686302	0.120592	0.129784	0.346895	0.219328	0.0952174	0.326539	0.381984	0.306924	0.122842	0.0385645	0.0479564	0.0332314	0.0854031	0.00747169	0.0694958	0.122079	0.0289442	0.118938	0.110246	0.86242	0.0598437	0.0321863	6.6033e-05	0.089789	0.0666987	0.803907	0.0241625	0.491693	0.707357	0.897615	1.11406	1.41371	2.03379	0.5133069	0.0179268	0.00144686	0.025423	0.027361	0.0731321	0.0462385	0.0200736	0.0688407	0.0805295	0.0647054	0.0258975	0.00813012	0.0101101	0.00700581	0.0180046	0.00157517	0.014651	0.0257366	0.00610198	0.0250743	0.0232419	0.181814	0.0126162	0.00678547	1.3921e-05	0.0189292	0.0140614	0.169479	0.00509392	0.661609	0.338391	0.6616092	4.743406
324	-567.6334	-598.9774	31.34394	0.330727	0.0202716	0.112092	0.0588251	0.0721402	0.0899977	0.0205368	0.12312	0.140994	0.0731589	0.0587541	0.00955941	0.0389022	0.0245121	0.029492	0.0012699	0.000395701	0.101071	0.00195877	0.0991434	0.0718545	0.0884918	0.0375684	0.0607557	0.0147839	0.0655436	0.0294712	0.394225	0.0136474	0.154169	0.401776	0.752403	1.32908	2.48895	6.4864	1.351927	0.151483	0.00928502	0.0513414	0.0269437	0.0330424	0.0412216	0.00940649	0.0563927	0.0645793	0.033509	0.0269111	0.0043785	0.0178184	0.0112273	0.0135082	0.000581654	0.000181243	0.0462936	0.000897174	0.0454107	0.0329115	0.0405319	0.0172074	0.0278279	0.00677148	0.0300209	0.0134987	0.180567	0.00625094	0.45063	0.54937	0.4506301	2.183262
