Iteration	Posterior	Likelihood	Prior	rate_log_sd	root_freqs[1]	root_freqs[2]	tree_length
0	-565.498	-596.307	30.809	1.080449	0.409568	0.590432	2.691027
6	-565.5575	-596.3454	30.78782	1.101625	0.613728	0.386272	2.691027
12	-567.744	-598.5517	30.80769	1.081755	0.605428	0.394572	2.691027
18	-563.884	-592.9199	29.03591	0.8616328	0.49807	0.50193	3.868442
24	-567.0153	-594.3905	27.37524	0.8527087	0.451275	0.548725	4.812411
30	-570.0555	-601.1739	31.11837	1.303698	0.578224	0.421776	2.358837
36	-567.8916	-599.3212	31.4296	0.9924706	0.578224	0.421776	2.358837
42	-563.8168	-594.8749	31.05808	1.038178	0.651133	0.348867	2.563308
48	-573.8311	-602.9282	29.09709	0.7673825	0.238662	0.761338	3.887426
54	-564.8672	-595.024	30.15686	0.8285622	0.512246	0.487754	3.235109
60	-573.2478	-603.0959	29.84805	1.049416	0.215526	0.784474	3.287052
66	-569.3446	-599.0692	29.72466	1.172808	0.471456	0.528544	3.287052
72	-568.5531	-598.4277	29.87457	1.019372	0.665478	0.334522	3.289126
78	-571.52	-601.841	30.32096	1.241414	0.665478	0.334522	2.89028
84	-567.7277	-599.2279	31.50021	1.563893	0.583279	0.416721	1.940106
90	-566.0143	-594.3728	28.35855	0.9516421	0.569305	0.430695	4.203673
96	-567.7085	-597.5909	29.88235	1.233181	0.449472	0.550528	3.157991
102	-572.3193	-604.6943	32.37501	1.681384	0.439508	0.560492	1.206419
108	-571.1711	-603.5866	32.41544	1.72595	0.621165	0.378835	1.132153
114	-570.6207	-599.483	28.86223	1.071152	0.623609	0.376391	3.847855
120	-572.2615	-600.8529	28.59141	0.2253824	0.459427	0.540573	4.482479
126	-572.7485	-600.3324	27.58389	0.6372023	0.695479	0.304521	4.816239
132	-572.0815	-600.5175	28.43604	0.5230324	0.501291	0.498709	4.402318
138	-573.0611	-603.3587	30.29759	0.8677833	0.554294	0.445706	3.128355
144	-568.6853	-600.7258	32.04049	1.49611	0.598342	0.401658	1.610876
150	-584.4568	-616.213	31.75618	1.89441	0.385057	0.614943	1.527219
156	-583.4524	-615.5822	32.1298	1.740439	0.55256	0.44744	1.359072
162	-571.7362	-603.8729	32.13676	1.548187	0.709286	0.290714	1.501571
168	-570.2342	-602.4876	32.25341	1.514619	0.382079	0.617921	1.438614
174	-572.0066	-603.5459	31.53937	1.12464	0.568058	0.431942	2.203896
180	-574.0251	-606.1404	32.1153	1.349215	0.5173	0.4827	1.662773
186	-568.8853	-599.8895	31.0042	1.245616	0.642706	0.357294	2.467477
192	-565.8697	-596.0573	30.18761	0.6918233	0.574641	0.425359	3.29768
198	-568.1602	-597.2987	29.13855	0.5244864	0.542377	0.457623	4.002762
204	-575.8559	-604.471	28.61514	0.6086139	0.689435	0.310565	4.252684
210	-568.1148	-597.1525	29.03763	0.7276743	0.472751	0.527249	3.944266
216	-568.2446	-597.9523	29.70776	0.7164916	0.680852	0.319148	3.564123
222	-571.6712	-601.308	29.63677	0.7874775	0.529108	0.470892	3.564123
228	-570.6539	-598.204	27.55011	0.9663573	0.442757	0.557243	4.651105
234	-565.3709	-592.4959	27.12505	0.3780975	0.605193	0.394807	5.214982
240	-566.9329	-593.2612	26.32837	0.4690263	0.498739	0.501261	5.603811
246	-567.3631	-597.2276	29.86451	0.8802767	0.701807	0.298193	3.376868
252	-565.4574	-597.8021	32.34463	1.825286	0.612634	0.387366	1.106372
258	-565.6647	-598.3692	32.70444	1.577217	0.630016	0.369984	0.9999207
264	-563.5277	-596.0595	32.53179	1.876428	0.664984	0.335016	0.8630243
270	-566.3899	-597.1212	30.73134	1.32838	0.472168	0.527832	2.585983
276	-565.0012	-596.0714	31.07022	1.104177	0.496456	0.503544	2.514659
282	-569.0544	-600.1397	31.08535	1.089041	0.545432	0.454568	2.514659
288	-572.002	-599.8402	27.83821	0.5133069	0.661609	0.338391	4.743406
294	-572.8809	-602.662	29.7811	0.8903409	0.661609	0.338391	3.419867
300	-567.5018	-597.7896	30.2878	1.262538	0.545396	0.454604	2.897553
306	-569.0055	-599.3783	30.37278	1.177558	0.658606	0.341394	2.897553
312	-569.7326	-601.6673	31.93475	1.358671	0.597367	0.402633	1.783312
318	-570.7412	-602.1539	31.41277	1.351927	0.583896	0.416104	2.138489
324	-567.6334	-598.9774	31.34394	1.351927	0.45063	0.54937	2.183262
330	-572.4377	-605.0243	32.58659	1.815034	0.368397	0.631603	0.8708145
336	-569.4824	-602.0341	32.55163	1.767525	0.521412	0.478588	0.9616666
342	-567.6427	-599.6919	32.04918	1.767525	0.548056	0.451944	1.401044
348	-567.2603	-599.8378	32.57743	2.009116	0.548056	0.451944	0.5313444
354	-572.4577	-600.3419	27.88415	0.7439244	0.566478	0.433522	4.588529
360	-575.5446	-604.6173	29.07272	1.029902	0.437565	0.562435	3.750409
366	-568.011	-597.1606	29.14967	0.9529557	0.569057	0.430943	3.750409
372	-568.2337	-596.9083	28.67465	0.9137292	0.522443	0.477557	4.045386
378	-571.6077	-600.1622	28.55449	1.033896	0.683386	0.316614	4.045386
384	-570.5836	-599.4185	28.83494	0.7534369	0.534429	0.465571	4.045386
390	-570.4183	-599.3454	28.92706	0.5390621	0.617397	0.382603	4.11505
396	-572.9994	-600.3004	27.30091	0.4654388	0.602998	0.397002	5.069203
402	-572.9246	-600.0146	27.09003	0.3794957	0.623446	0.376554	5.233573
408	-575.3088	-601.6026	26.29383	0.3858572	0.390215	0.609785	5.668398
414	-585.5016	-615.2107	29.70913	0.9858572	0.339569	0.660431	3.406075
420	-585.5284	-613.9743	28.44593	1.23638	0.717134	0.282866	3.991748
426	-590.3942	-619.9858	29.59166	1.100121	0.677594	0.322406	3.407952
432	-583.3003	-611.0055	27.70513	0.7223151	0.608732	0.391268	4.700948
438	-580.1876	-609.3432	29.15555	0.6960513	0.674369	0.325631	3.894809
444	-575.1855	-604.4604	29.27493	0.5766716	0.63067	0.36933	3.894809
450	-573.7961	-603.0217	29.22556	0.6260425	0.516848	0.483152	3.894809
456	-569.5274	-599.2089	29.68145	0.8197543	0.516848	0.483152	3.519321
462	-564.797	-594.2565	29.45951	0.631471	0.533596	0.466404	3.757122
468	-563.9455	-593.1767	29.23124	0.8597459	0.573786	0.426214	3.757122
474	-564.2215	-593.3483	29.12678	0.9642076	0.456112	0.543888	3.757122
480	-563.5444	-594.9473	31.40293	1.260628	0.456112	0.543888	2.204189
486	-566.5373	-596.9111	30.37376	0.718181	0.320506	0.679494	3.171999
492	-562.1405	-591.7861	29.64554	1.092784	0.46295	0.53705	3.380663
498	-563.5573	-594.6581	31.1008	1.334034	0.423344	0.576656	2.350738
504	-565.3395	-596.904	31.56448	1.361819	0.366482	0.633518	2.032199
510	-567.2214	-598.9664	31.74505	1.290641	0.366482	0.633518	1.959216
516	-565.0981	-595.9926	30.89449	1.310426	0.399597	0.600403	2.495593
