Iteration	Posterior	Likelihood	Prior	rate_log_sd	root_freqs[1]	root_freqs[2]	tree_length
0	-569.4843	-599.8014	30.31711	0.9451078	0.685659	0.314341	3.070618
6	-567.6931	-598.7668	31.07365	0.9628143	0.65905	0.34095	2.600386
12	-569.8676	-601.3174	31.44978	1.141525	0.522965	0.477035	2.250773
18	-568.1265	-598.1531	30.02659	0.7197727	0.42303	0.57697	3.375942
24	-566.2439	-595.7946	29.55073	0.6376222	0.598455	0.401545	3.700898
30	-565.1822	-592.7838	27.60161	0.6847846	0.504086	0.495914	4.779791
36	-571.2482	-597.5506	26.30239	0.8103993	0.669381	0.330619	5.4304
42	-569.2681	-596.5779	27.30977	0.8561831	0.437919	0.562081	4.846989
48	-571.8836	-600.9361	29.05252	0.9976572	0.329192	0.670808	3.780646
54	-572.823	-603.2134	30.39038	1.136821	0.539938	0.460062	2.911525
60	-576.0625	-604.58	28.51748	0.8262082	0.33856	0.66144	4.184657
66	-573.6067	-602.0124	28.40569	0.6967567	0.698152	0.301848	4.321346
72	-574.6137	-601.5813	26.96767	1.122797	0.768428	0.231572	4.889056
78	-568.3432	-596.6742	28.33106	0.8574669	0.528932	0.471068	4.272643
84	-574.2277	-603.4588	29.23109	0.9865609	0.453198	0.546802	3.683959
90	-572.1474	-603.3439	31.19646	1.379559	0.462747	0.537253	2.260594
96	-568.2755	-598.7138	30.43836	1.303457	0.444841	0.555159	2.781346
102	-566.3574	-597.9886	31.63112	1.475723	0.361435	0.638565	1.911241
108	-567.9328	-599.8608	31.928	1.348836	0.648866	0.351134	1.794821
114	-568.8086	-599.5424	30.73387	1.420334	0.250771	0.749229	2.527254
120	-571.4936	-599.3452	27.85164	0.6877847	0.565059	0.434941	4.638241
126	-570.3049	-598.3053	28.00034	0.539087	0.530918	0.469082	4.638241
132	-576.3017	-605.0907	28.78898	0.8756444	0.574133	0.425867	4.001856
138	-577.1663	-607.7602	30.59394	1.098639	0.574133	0.425867	2.811324
144	-577.6924	-607.4015	29.70915	0.9505609	0.589138	0.410862	3.426739
150	-574.064	-604.6179	30.55393	1.401147	0.449409	0.550591	2.65065
156	-566.4719	-597.9931	31.52112	1.303564	0.735427	0.264573	2.099234
162	-570.3852	-601.9075	31.52226	1.302418	0.51517	0.48483	2.099234
168	-573.1638	-603.8221	30.65829	1.377698	0.446881	0.553119	2.60068
174	-575.2718	-606.7195	31.44762	1.37374	0.566097	0.433903	2.101415
180	-576.4528	-607.4888	31.03595	1.024319	0.501936	0.498064	2.585643
186	-579.1315	-610.245	31.11356	0.5892699	0.674549	0.325451	2.805092
192	-572.1934	-599.6281	27.43471	0.7865688	0.3439	0.6561	4.816134
198	-573.2623	-600.7368	27.47457	0.9396804	0.641721	0.358279	4.708332
204	-569.0013	-597.9425	28.9412	1.047507	0.658554	0.341446	3.816041
210	-570.4248	-601.7587	31.33394	1.315942	0.50309	0.49691	2.213031
216	-568.5101	-599.1838	30.6737	1.160324	0.718998	0.281002	2.725014
222	-569.8975	-600.8833	30.98581	1.036837	0.490656	0.509344	2.608939
228	-575.2896	-605.8412	30.55164	1.003708	0.464875	0.535125	2.894527
234	-567.4814	-597.8935	30.41211	0.940572	0.644756	0.355244	3.016492
240	-567.6486	-598.4131	30.76451	1.027194	0.761083	0.238917	2.750898
246	-571.6905	-601.3422	29.65169	1.034107	0.819513	0.180487	3.41146
252	-569.2408	-599.4838	30.24302	1.298402	0.464333	0.535667	2.902941
258	-572.2698	-603.6072	31.33741	1.201459	0.464333	0.535667	2.284403
264	-571.627	-602.8456	31.21866	1.113809	0.599977	0.400023	2.415509
270	-568.9318	-599.0996	30.16782	0.9076815	0.696315	0.303685	3.181754
276	-576.2004	-606.0715	29.87104	1.336902	0.562514	0.437486	3.103002
282	-572.6827	-604.8502	32.16756	1.361152	0.569598	0.430402	1.616596
288	-569.504	-601.8441	32.34018	1.610189	0.676958	0.323042	1.294769
294	-573.6469	-602.6031	28.9562	0.7778877	0.563101	0.436899	3.962136
300	-575.5656	-605.8657	30.30009	0.9734406	0.674148	0.325852	3.063863
306	-573.7578	-603.7443	29.98651	0.9854401	0.529353	0.470647	3.243076
312	-574.1781	-602.51	28.33185	0.4885039	0.337786	0.662214	4.480474
318	-572.3955	-602.3487	29.95321	1.052506	0.421446	0.578554	3.223101
324	-567.0733	-597.7547	30.68136	0.8813648	0.672735	0.327265	2.890068
330	-567.1427	-598.2119	31.06923	1.055037	0.515222	0.484778	2.545895
336	-568.7669	-596.7164	27.94951	0.7021518	0.591917	0.408083	4.575294
342	-566.0168	-596.0909	30.0741	0.8721397	0.591917	0.408083	3.258268
348	-565.7303	-595.6823	29.95195	1.152959	0.501358	0.498642	3.164302
354	-565.2208	-595.0565	29.83562	1.139083	0.501358	0.498642	3.241449
360	-563.799	-593.2242	29.42519	1.143038	0.501358	0.498642	3.480222
366	-562.7917	-592.2832	29.49154	0.8077642	0.585511	0.414489	3.636673
372	-565.1027	-596.7356	31.63295	1.201382	0.54896	0.45104	2.092895
378	-567.5721	-598.6481	31.07595	1.120355	0.508157	0.491843	2.500979
384	-562.6991	-592.9586	30.2595	1.098342	0.625254	0.374746	3.013403
390	-563.6731	-594.1839	30.51077	1.098342	0.567535	0.432465	2.861992
396	-564.0227	-595.6251	31.60239	1.183777	0.433698	0.566302	2.124464
402	-587.0503	-619.9112	32.86083	1.523603	0.384135	0.615865	0.8906932
408	-586.7317	-618.6954	31.96366	1.459546	0.384135	0.615865	1.692199
414	-570.673	-602.6319	31.9589	1.434315	0.732266	0.267734	1.713426
420	-567.7241	-599.5731	31.84896	1.613739	0.458887	0.541113	1.664074
426	-568.8765	-601.4716	32.59507	1.686824	0.766799	0.233201	0.9996859
432	-570.2689	-602.6793	32.41049	1.56482	0.557977	0.442023	1.274351
438	-576.5954	-608.1641	31.56869	1.205901	0.485662	0.514338	2.132029
444	-580.299	-609.1064	28.80742	0.6974658	0.63529	0.36471	4.09298
450	-573.9893	-601.5212	27.53186	0.1829144	0.569458	0.430542	5.097806
456	-577.052	-604.1413	27.08926	0.4758711	0.577146	0.422854	5.180689
462	-573.5325	-600.4411	26.90866	0.678232	0.63537	0.36463	5.168645
468	-569.5284	-600.3135	30.78516	0.5829606	0.63537	0.36463	3.007238
474	-566.0553	-597.3806	31.32533	1.099349	0.435803	0.564197	2.357184
480	-571.5204	-601.9524	30.43198	1.280581	0.601911	0.398089	2.799167
486	-563.0237	-593.2569	30.23325	1.109389	0.524923	0.475077	3.022513
492	-560.4429	-591.3672	30.92436	1.184085	0.422624	0.577376	2.555737
498	-562.2296	-594.1433	31.91373	1.247405	0.610698	0.389302	1.874353
504	-564.413	-596.1602	31.74712	1.295449	0.622781	0.377219	1.954592
510	-569.0062	-599.1838	30.17759	1.167066	0.344251	0.655749	3.021307
516	-570.3093	-601.1184	30.8091	1.403926	0.664304	0.335696	2.490519
522	-576.2551	-606.0505	29.79533	1.292657	0.479748	0.520252	3.174343
528	-570.1698	-598.7297	28.55995	1.250531	0.620798	0.379202	3.918386
534	-568.3517	-599.473	31.12138	0.999423	0.624593	0.375407	2.548049
540	-566.202	-596.6982	30.49616	0.8895247	0.630505	0.369495	2.996702
546	-574.213	-603.4453	29.23236	0.8163217	0.722539	0.277461	3.781509
552	-568.1416	-598.804	30.66235	1.105353	0.697055	0.302945	2.765556
558	-561.0546	-590.4253	29.37073	0.8254624	0.581322	0.418678	3.696364
564	-563.4207	-594.5266	31.10586	1.012239	0.624467	0.375533	2.549733
570	-562.2555	-593.639	31.38345	1.456876	0.703222	0.296778	2.088957
576	-564.864	-596.5738	31.70978	1.413449	0.491863	0.508137	1.900134
582	-568.0888	-600.8068	32.71798	1.746881	0.569606	0.430394	0.7913529
588	-568.4846	-601.1411	32.65649	1.537088	0.703277	0.296723	1.084612
594	-570.3312	-602.7438	32.41259	1.869666	0.466677	0.533323	0.9993243
600	-571.9291	-604.1934	32.2643	1.888177	0.392672	0.607328	1.122188
606	-571.5318	-603.9385	32.40666	2.178168	0.646806	0.353194	0.4587361
612	-571.9304	-604.3106	32.38016	2.178168	0.624672	0.375328	0.6329064
618	-572.3202	-604.8122	32.49205	1.990855	0.794769	0.205231	0.7661436
624	-567.7068	-597.3873	29.68053	1.003391	0.4755	0.5245	3.41256
630	-574.2868	-604.6717	30.38494	0.7704328	0.444581	0.555419	3.134304
636	-572.6398	-602.5668	29.92702	0.911281	0.454924	0.545076	3.321905
642	-571.2469	-603.4135	32.16664	1.282064	0.57837	0.42163	1.674062
648	-563.6723	-596.0408	32.36857	1.469832	0.632802	0.367198	1.38412
654	-564.9051	-597.264	32.35896	1.654499	0.609629	0.390371	1.242702
660	-563.4275	-596.0869	32.65939	1.654499	0.448933	0.551067	0.9671346
666	-567.0229	-598.7628	31.73992	1.563446	0.694422	0.305578	1.776397
672	-568.9349	-600.887	31.95216	1.304193	0.697334	0.302666	1.809
678	-570.7199	-602.9884	32.26857	1.816712	0.492321	0.507679	1.181568
684	-567.6674	-600.2769	32.60955	1.83993	0.537487	0.462513	0.8117935
690	-571.0911	-603.2089	32.11785	1.617927	0.369162	0.630838	1.463221
696	-572.088	-604.3005	32.21254	1.602933	0.617625	0.382375	1.402003
702	-566.2091	-597.7394	31.53021	1.517503	0.710478	0.289522	1.951135
708	-566.4063	-598.0417	31.63538	1.515938	0.416825	0.583175	1.881043
714	-576.1154	-608.6199	32.50455	1.487965	0.640235	0.359765	1.260145
720	-569.0426	-601.0364	31.99374	1.640092	0.496806	0.503194	1.539648
726	-566.8931	-599.4728	32.5797	1.640092	0.637693	0.362307	1.060046
732	-563.7404	-593.43	29.68955	0.8566177	0.583057	0.416943	3.493097
738	-570.73	-599.79	29.06	1.269357	0.556939	0.443061	3.619239
744	-573.5382	-603.4284	29.89017	1.159583	0.706331	0.293669	3.197023
750	-569.0956	-600.045	30.94936	1.007969	0.57497	0.42503	2.649265
756	-569.3874	-600.1737	30.78632	1.200696	0.521168	0.478832	2.630954
762	-571.705	-600.3618	28.65684	0.8831191	0.521083	0.478917	4.072998
768	-572.2515	-601.8659	29.61446	1.017025	0.695455	0.304545	3.443251
774	-569.9348	-601.5101	31.5753	1.323145	0.532035	0.467965	2.050639
780	-577.3907	-607.3131	29.92236	1.243982	0.59218	0.40782	3.127777
786	-579.9732	-609.4368	29.46365	0.7535709	0.594544	0.405456	3.684202
792	-565.1683	-594.1926	29.02425	1.063656	0.570451	0.429549	3.758896
798	-568.1004	-597.8064	29.70604	1.288045	0.570451	0.429549	3.229984
804	-568.9242	-599.1454	30.22114	0.7729399	0.556206	0.443794	3.229984
810	-564.4968	-594.1798	29.68304	0.9556142	0.556206	0.443794	3.439061
816	-566.3892	-596.1963	29.80708	1.40768	0.556206	0.443794	3.098935
822	-567.6971	-599.8631	32.166	1.258278	0.707118	0.292882	1.691437
828	-569.4337	-601.865	32.43129	1.536996	0.444476	0.555524	1.28012
834	-571.4578	-598.3731	26.91538	0.734384	0.608242	0.391758	5.133834
840	-565.6562	-594.6453	28.98905	0.8774731	0.395932	0.604068	3.886247
846	-560.8921	-591.412	30.51994	1.028305	0.436187	0.563813	2.898816
852	-561.3815	-592.4108	31.02922	1.415814	0.562372	0.437628	2.344252
858	-561.2066	-592.5523	31.34571	1.348692	0.562372	0.437628	2.184217
864	-560.9572	-592.7582	31.80092	1.545955	0.41516	0.58484	1.74602
870	-567.5203	-596.2837	28.76333	0.9901439	0.716314	0.283686	3.951039
876	-569.9152	-599.6195	29.70435	1.137889	0.546012	0.453988	3.319591
882	-560.7627	-592.3903	31.62765	1.085676	0.456292	0.543708	2.171937
888	-561.0077	-591.8262	30.8185	1.097076	0.601203	0.398797	2.674967
894	-562.9706	-593.9097	30.93917	0.928872	0.525861	0.474139	2.704164
900	-560.2665	-592.4553	32.18877	1.480317	0.573702	0.426298	1.513433
906	-561.7738	-593.7161	31.94233	1.512235	0.540213	0.459787	1.669884
912	-563.4537	-596.1656	32.71184	1.537169	0.599968	0.400032	1.032062
918	-567.0171	-598.8984	31.8813	1.537169	0.52578	0.47422	1.695562
924	-564.9033	-597.1365	32.23321	1.471743	0.54777	0.45223	1.486535
930	-570.1689	-601.5654	31.39652	1.941157	0.701923	0.298077	1.75246
936	-572.418	-603.9171	31.49916	1.477132	0.67781	0.32219	1.998955
942	-566.3639	-596.5627	30.19887	0.8789509	0.602072	0.397928	3.180377
948	-564.3914	-594.6742	30.28275	1.222809	0.520038	0.479962	2.924585
954	-566.1622	-595.6754	29.5132	1.120234	0.581172	0.418828	3.442114
960	-561.5917	-590.6648	29.07307	0.8450515	0.613599	0.386401	3.856625
966	-567.0577	-596.6315	29.57376	0.8879523	0.631519	0.368481	3.542326
972	-566.7263	-596.5976	29.87124	0.9065131	0.623329	0.376671	3.357512
978	-568.4193	-596.9753	28.556	0.941691	0.532862	0.467138	4.097081
984	-568.8995	-598.6348	29.73526	0.8410625	0.5523	0.4477	3.475498
990	-563.7206	-594.3356	30.61494	1.066595	0.5523	0.4477	2.818041
996	-565.4353	-593.0266	27.59126	1.045672	0.681845	0.318155	4.583562
1002	-567.9946	-597.7576	29.76298	0.7010546	0.469014	0.530986	3.540971
1008	-568.1947	-595.9332	27.73852	0.7685604	0.46355	0.53645	4.656367
1014	-570.3722	-601.3286	30.95644	1.127049	0.560963	0.439037	2.571239
1020	-570.6053	-601.0764	30.47114	0.8435736	0.495435	0.504565	3.039235
1026	-568.8121	-598.3924	29.58028	0.812405	0.673603	0.326397	3.582472
1032	-571.1621	-603.1267	31.96458	1.310342	0.48339	0.51661	1.796147
1038	-566.6472	-597.9201	31.27292	1.226418	0.522806	0.477194	2.309675
1044	-569.0386	-598.7557	29.71711	0.9361607	0.476037	0.523963	3.430509
1050	-566.0969	-597.0181	30.92119	1.128877	0.702346	0.297654	2.591965
1056	-566.6442	-598.4018	31.75754	1.43968	0.606802	0.393198	1.849683
1062	-569.3181	-600.8334	31.51532	1.751897	0.686528	0.313472	1.801486
1068	-567.2629	-599.4285	32.1656	1.751897	0.605318	0.394682	1.32138
1074	-566.7553	-597.7242	30.96885	1.537624	0.724116	0.275884	2.305117
1080	-566.4012	-598.8979	32.49665	1.770767	0.701271	0.298729	1.014058
1086	-566.7965	-599.028	32.23152	2.177367	0.552335	0.447665	0.862227
1092	-573.9408	-606.3268	32.38601	2.177367	0.438661	0.561339	0.6204277
1098	-577.927	-610.0548	32.12773	2.173542	0.525128	0.474872	0.9801045
1104	-570.4557	-601.4736	31.01789	1.280841	0.598042	0.401958	2.436754
1110	-572.1961	-603.0111	30.81493	1.483804	0.598042	0.401958	2.436754
1116	-574.6617	-606.3236	31.66193	1.296004	0.563467	0.436533	2.011182
1122	-575.2475	-606.5553	31.30782	1.328628	0.5428	0.4572	2.221703
1128	-579.2654	-609.7266	30.46119	1.010231	0.557178	0.442822	2.945159
1134	-570.2748	-601.8709	31.5961	1.250471	0.40737	0.59263	2.084852
1140	-569.9338	-601.5085	31.5747	1.436017	0.533352	0.466648	1.975956
1146	-562.0684	-593.3928	31.32433	0.8794644	0.526506	0.473494	2.496295
1152	-562.5427	-591.7949	29.25223	0.8432885	0.40942	0.59058	3.754507
1158	-569.941	-601.5047	31.5637	1.218325	0.505841	0.494159	2.127173
1164	-565.0335	-595.9645	30.93099	1.400213	0.505841	0.494159	2.416304
1170	-577.5734	-607.6207	30.04732	1.093041	0.374768	0.625232	3.143235
1176	-575.8766	-607.1228	31.24617	1.008601	0.695552	0.304448	2.464371
1182	-578.2532	-607.9687	29.71543	1.130824	0.648916	0.351084	3.317222
1188	-571.273	-601.2678	29.99479	0.8514716	0.734077	0.265923	3.317222
1194	-566.9077	-599.189	32.28136	1.369363	0.594331	0.405669	1.52712
1200	-570.1209	-602.0881	31.96716	1.197658	0.594331	0.405669	1.871837
1206	-578.9688	-609.511	30.54228	1.334238	0.637694	0.362306	2.69896
1212	-571.8744	-599.8283	27.95389	0.8237576	0.723834	0.276166	4.504504
1218	-572.1557	-602.8809	30.7252	0.8280223	0.721182	0.278818	2.895808
1224	-570.2861	-601.3115	31.0254	1.194979	0.453822	0.546178	2.485921
1230	-573.9457	-605.5236	31.57788	1.588521	0.470087	0.529913	1.87076
1236	-572.4987	-604.4157	31.91696	1.429166	0.550921	0.449079	1.746546
1242	-566.6238	-598.3455	31.72177	1.611066	0.539297	0.460703	1.755846
1248	-563.294	-593.6452	30.35124	1.404606	0.575418	0.424582	2.772792
1254	-565.3819	-596.2016	30.81967	1.020657	0.478603	0.521397	2.72115
1260	-567.942	-598.2891	30.34714	1.502649	0.723398	0.276602	2.715357
1266	-567.239	-598.7174	31.47843	1.502649	0.316055	0.683945	1.995761
1272	-567.0701	-596.3834	29.31322	0.6758046	0.592775	0.407225	3.815856
1278	-573.6413	-600.4427	26.80148	1.0236	0.663701	0.336299	5.036617
1284	-572.3972	-603.257	30.85975	1.352038	0.644605	0.355395	2.491294
1290	-568.8751	-600.5376	31.6625	1.470758	0.472902	0.527098	1.893326
1296	-566.9294	-598.1944	31.26505	1.51808	0.508202	0.491798	2.126447
1302	-576.6773	-607.3445	30.66729	1.99064	0.356159	0.643841	2.207827
